"","name","state","state_code","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total"
"1128","Ivy Tech Community College: Bloomington","Indiana","IN","Public","2 Year",NA,4368,4368,8402,8402
"1129","Ivy Tech Community College: Central Indiana","Indiana","IN","Public","2 Year",NA,4368,4368,8402,8402
"1130","Ivy Tech Community College: Columbus","Indiana","IN","Public","2 Year",NA,4368,4368,8402,8402
"1131","Ivy Tech Community College: Kokomo","Indiana","IN","Public","2 Year",NA,4368,4368,8402,8402
"1132","Ivy Tech Community College: Lafayette","Indiana","IN","Public","2 Year",NA,4368,4368,8402,8402
"1133","Ivy Tech Community College: Muncie","Indiana","IN","Public","2 Year",NA,4368,4368,8402,8402
"1134","Ivy Tech Community College: North Central","Indiana","IN","Public","2 Year",NA,4368,4368,8402,8402
"1135","Ivy Tech Community College: Northeast","Indiana","IN","Public","2 Year",NA,4368,4368,8402,8402
"1136","Ivy Tech Community College: Northwest","Indiana","IN","Public","2 Year",NA,4368,4368,8402,8402
"1137","Ivy Tech Community College: Richmond","Indiana","IN","Public","2 Year",NA,4368,4368,8402,8402
"1138","Ivy Tech Community College: South Central","Indiana","IN","Public","2 Year",NA,4368,4368,8402,8402
"1139","Ivy Tech Community College: Southeast","Indiana","IN","Public","2 Year",NA,4368,4368,8402,8402
"1140","Ivy Tech Community College: Southwest","Indiana","IN","Public","2 Year",NA,4368,4368,8402,8402
"1141","Ivy Tech Community College: Wabash Valley","Indiana","IN","Public","2 Year",NA,4368,4368,8402,8402
"1142","J. Sargeant Reynolds Community College","Virginia","VA","Public","2 Year",NA,5508,5508,11436,11436
"1143","Jackson College","Michigan","MI","Public","2 Year",NA,5910,5910,10500,10500
"1144","Jackson State Community College","Tennessee","TN","Public","2 Year",NA,4425,4425,13191,13191
"1145","Jackson State University","Mississippi","MS","Public","4 Year",9552,8226,17778,19454,29006
"1146","Jacksonville College","Texas","TX","Private","2 Year",6400,8000,14400,8000,14400
"1147","Jacksonville State University","Alabama","AL","Public","4 Year",8100,10425,18525,20145,28245
"1148","Jacksonville University","Florida","FL","Private","4 Year",14080,36670,50750,36670,50750
"1149","James A. Rhodes State College","Ohio","OH","Public","2 Year",NA,5104,5104,10210,10210
"1150","James Madison University","Virginia","VA","Public","4 Year",10092,12016,22108,28416,38508
"1151","James Sprunt Community College","North Carolina","NC","Public","2 Year",NA,2501,2501,8645,8645
"1152","Jamestown Business College","New York","NY","For Profit","2 Year",NA,12600,12600,12600,12600
"1153","Jamestown Community College","New York","NY","Public","2 Year",10750,5850,16600,10720,21470
"1154","Jarvis Christian College","Texas","TX","Private","4 Year",8440,11720,20160,11720,20160
"1155","Jefferson College","Missouri","MO","Public","2 Year",6156,3330,9486,6510,12666
"1156","Jefferson College of Health Sciences","Virginia","VA","Private","4 Year",5870,26886,32756,26886,32756
"1157","Jefferson Community and Technical College","Kentucky","KY","Public","2 Year",NA,5310,5310,18000,18000
"1158","Jefferson Community College","New York","NY","Public","2 Year",11666,5424,17090,10176,21842
"1159","Jefferson State Community College","Alabama","AL","Public","2 Year",NA,4800,4800,8370,8370
"1160","Jewish Theological Seminary of America","New York","NY","Private","4 Year",12570,51326,63896,51326,63896
"1161","JNA Institute of Culinary Arts","Pennsylvania","PA","For Profit","2 Year",NA,12725,12725,12725,12725
"1162","John A. Gupton College","Tennessee","TN","Private","2 Year",NA,10450,10450,10450,10450
"1163","John A. Logan College","Illinois","IL","Public","2 Year",NA,3600,3600,5940,5940
"1164","John Brown University","Arkansas","AR","Private","4 Year",9224,26928,36152,26928,36152
"1165","John Carroll University","Ohio","OH","Private","4 Year",11874,41340,53214,41340,53214
"1166","John F. Kennedy University","California","CA","Private","4 Year",NA,18261,18261,18261,18261
"1167","John Paul the Great Catholic University","California","CA","Private","4 Year",7650,26100,33750,26100,33750
"1168","John Tyler Community College","Virginia","VA","Public","2 Year",NA,4800,4800,10098,10098
"1169","John Wesley University","North Carolina","NC","Private","4 Year",3600,13330,16930,13330,16930
"1170","John Wood Community College","Illinois","IL","Public","2 Year",NA,4890,4890,8190,8190
"1171","Johns Hopkins University","Maryland","MD","Private","4 Year",15836,54240,70076,54240,70076
"1172","Johns Hopkins University: Peabody Conservatory of Music","Maryland","MD","Private","4 Year",15838,50180,66018,50180,66018
"1173","Johnson & Wales University: Charlotte","North Carolina","NC","Private","4 Year",14148,32091,46239,32091,46239
"1174","Johnson & Wales University: Denver","Colorado","CO","Private","4 Year",12546,32091,44637,32091,44637
"1175","Johnson & Wales University: North Miami","Florida","FL","Private","4 Year",12564,32091,44655,32091,44655
"1176","Johnson & Wales University: Providence","Rhode Island","RI","Private","4 Year",14337,32091,46428,32091,46428
"1177","Johnson C. Smith University","North Carolina","NC","Private","4 Year",7100,18236,25336,18236,25336
"1178","Johnson College","Pennsylvania","PA","Private","2 Year",8250,18641,26891,18641,26891
"1179","Johnson County Community College","Kansas","KS","Public","2 Year",NA,2790,2790,6600,6600
"1180","Johnson University","Tennessee","TN","Private","4 Year",6700,16060,22760,16060,22760
"1181","Johnson University: Florida","Florida","FL","Private","4 Year",7040,16060,23100,16060,23100
"1182","Johnston Community College","North Carolina","NC","Public","2 Year",NA,2497,2497,8257,8257
"1183","Joliet Junior College","Illinois","IL","Public","2 Year",NA,4380,4380,13140,13140
"1184","Jones County Junior College","Mississippi","MS","Public","2 Year",4132,3440,7572,5440,9572
"1185","Judson College","Alabama","AL","Private","4 Year",10590,18510,29100,18510,29100
"1186","Judson University","Illinois","IL","Private","4 Year",9988,29860,39848,29860,39848
"1187","Juilliard School","New York","NY","Private","4 Year",16950,45360,62310,45360,62310
"1188","Juniata College","Pennsylvania","PA","Private","4 Year",12521,45597,58118,45597,58118
"1189","Kalamazoo College","Michigan","MI","Private","4 Year",9756,48516,58272,48516,58272
"1190","Kalamazoo Valley Community College","Michigan","MI","Public","2 Year",NA,3446,3446,7646,7646
"1191","Kankakee Community College","Illinois","IL","Public","2 Year",NA,4620,4620,22382,22382
"1192","Kansas City Art Institute","Missouri","MO","Private","4 Year",10400,38400,48800,38400,48800
"1193","Kansas City Kansas Community College","Kansas","KS","Public","2 Year",NA,3120,3120,6510,6510
"1194","Kansas State University","Kansas","KS","Public","4 Year",9680,10263,19943,25767,35447
"1195","Kansas Wesleyan University","Kansas","KS","Private","4 Year",9500,29500,39000,29500,39000
"1196","Kaskaskia College","Illinois","IL","Public","2 Year",NA,4470,4470,12330,12330
"1197","Kean University","New Jersey","NJ","Public","4 Year",14470,12348,26818,19383,33853
"1198","Keene State College","New Hampshire","NH","Public","4 Year",11026,14212,25238,23176,34202
"1199","Kehilath Yakov Rabbinical Seminary","New York","NY","Private","4 Year",2800,9700,12500,9700,12500
"1200","Keiser University","Florida","FL","Private","4 Year",NA,29920,29920,29920,29920
"1201","Kellogg Community College","Michigan","MI","Public","2 Year",NA,4083,4083,8350,8350
"1202","Kennebec Valley Community College","Maine","ME","Public","2 Year",NA,3462,3462,6282,6282
"1203","Kennesaw State University","Georgia","GA","Public","4 Year",11467,7432,18899,21158,32625
"1204","Kent State University","Ohio","OH","Public","4 Year",11362,10012,21374,18714,30076
"1205","Kent State University: Ashtabula","Ohio","OH","Public","2 Year",NA,5664,5664,14366,14366
"1206","Kent State University: East Liverpool","Ohio","OH","Public","2 Year",NA,5664,5664,14366,14366
"1207","Kent State University: Geauga","Ohio","OH","Public","2 Year",NA,5664,5664,14366,14366
"1208","Kent State University: Salem","Ohio","OH","Public","2 Year",NA,5664,5664,14366,14366
"1209","Kent State University: Stark","Ohio","OH","Public","2 Year",NA,5664,5664,14366,14366
"1210","Kent State University: Trumbull","Ohio","OH","Public","2 Year",NA,5664,5664,14366,14366
"1211","Kent State University: Tuscarawas","Ohio","OH","Public","2 Year",NA,5664,5664,14366,14366
"1212","Kentucky Christian University","Kentucky","KY","Private","4 Year",8270,19820,28090,19820,28090
"1213","Kentucky Mountain Bible College","Kentucky","KY","Private","4 Year",5050,9460,14510,9460,14510
"1214","Kentucky State University","Kentucky","KY","Public","4 Year",6690,8090,14780,19390,26080
"1215","Kentucky Wesleyan College","Kentucky","KY","Private","4 Year",9764,26440,36204,26440,36204
"1216","Kenyon College","Ohio","OH","Private","4 Year",12510,55930,68440,55930,68440
"1217","Kettering College","Ohio","OH","Private","4 Year",4100,16200,20300,16200,20300
"1218","Kettering University","Michigan","MI","Private","4 Year",8240,43490,51730,43490,51730
"1219","Keuka College","New York","NY","Private","4 Year",11906,32093,43999,32093,43999
"1220","Key College","Florida","FL","For Profit","2 Year",NA,11085,11085,11085,11085
"1221","Keystone College","Pennsylvania","PA","Private","4 Year",11900,26920,38820,26920,38820
"1222","Kilgore College","Texas","TX","Public","2 Year",4916,2370,7286,6240,11156
"1223","King University","Tennessee","TN","Private","4 Year",8762,29714,38476,29714,38476
"1224","King's College","Pennsylvania","PA","Private","4 Year",12940,37226,50166,37226,50166
"1225","Kirkwood Community College","Iowa","IA","Public","2 Year",NA,5170,5170,6550,6550
"1226","Kirtland Community College","Michigan","MI","Public","2 Year",NA,4170,4170,8130,8130
"1227","Kishwaukee College","Illinois","IL","Public","2 Year",NA,4770,4770,13290,13290
"1228","Klamath Community College","Oregon","OR","Public","2 Year",NA,5496,5496,8714,8714
"1229","Knox College","Illinois","IL","Private","4 Year",9870,46554,56424,46554,56424
"1230","Kutztown University of Pennsylvania","Pennsylvania","PA","Public","4 Year",10334,10802,21136,14660,24994
"1231","Kuyper College","Michigan","MI","Private","4 Year",7285,21989,29274,21989,29274
"1232","La Roche College","Pennsylvania","PA","Private","4 Year",11556,28564,40120,28564,40120
"1233","La Salle University","Pennsylvania","PA","Private","4 Year",15080,30560,45640,30560,45640
"1234","La Sierra University","California","CA","Private","4 Year",8415,32778,41193,32778,41193
"1235","Labette Community College","Kansas","KS","Public","2 Year",NA,3060,3060,3810,3810
"1236","Laboure College","Massachusetts","MA","Private","2 Year",NA,36863,36863,36863,36863
"1237","Lac Courte Oreilles Ojibwa Community College","Wisconsin","WI","Public","2 Year",NA,5850,5850,5850,5850
"1238","Lackawanna College","Pennsylvania","PA","Private","2 Year",10300,15450,25750,15450,25750
"1239","Lafayette College","Pennsylvania","PA","Private","4 Year",15640,52880,68520,52880,68520
"1240","LaGrange College","Georgia","GA","Private","4 Year",11630,30470,42100,30470,42100
"1241","Laguna College of Art and Design","California","CA","Private","4 Year",10000,30700,40700,30700,40700
"1242","Lake Area Technical Institute","South Dakota","SD","Public","2 Year",NA,6364,6364,6364,6364
"1243","Lake Erie College","Ohio","OH","Private","4 Year",9908,31422,41330,31422,41330
"1244","Lake Forest College","Illinois","IL","Private","4 Year",10390,47064,57454,47064,57454
"1245","Lake Land College","Illinois","IL","Public","2 Year",NA,4110,4110,13736,13736
"1246","Lake Michigan College","Michigan","MI","Public","2 Year",7252,4500,11752,6345,13597
"1247","Lake Region State College","North Dakota","ND","Public","2 Year",6660,4475,11135,4475,11135
"1248","Lake Superior College","Minnesota","MN","Public","2 Year",NA,5166,5166,6270,6270
"1249","Lake Superior State University","Michigan","MI","Public","4 Year",9882,12090,21972,12090,21972
"1250","Lake Tahoe Community College","California","CA","Public","2 Year",NA,1410,1410,9825,9825
"1251","Lake Washington Institute of Technology","Washington","WA","Public","2 Year",NA,4879,4879,5313,5313
"1252","Lake-Sumter State College","Florida","FL","Public","2 Year",NA,3172,3172,13276,13276
"1253","Lakeland Community College","Ohio","OH","Public","2 Year",NA,3849,3849,10038,10038
"1254","Lakeland University","Wisconsin","WI","Private","4 Year",9234,28870,38104,28870,38104
"1255","Lakes Region Community College","New Hampshire","NH","Public","2 Year",NA,6720,6720,14970,14970
"1256","Lakeshore Technical College","Wisconsin","WI","Public","2 Year",NA,4020,4020,6030,6030
"1257","Lakeview College of Nursing","Illinois","IL","Private","4 Year",NA,16320,16320,16320,16320
"1258","Lamar Community College","Colorado","CO","Public","2 Year",6588,3950,10538,6332,12920
"1259","Lamar Institute of Technology","Texas","TX","Public","2 Year",NA,5634,5634,18084,18084
"1260","Lamar State College at Orange","Texas","TX","Public","2 Year",NA,5330,5330,17780,17780
"1261","Lamar State College at Port Arthur","Texas","TX","Public","2 Year",8370,5459,13829,17820,26190
"1262","Lamar University","Texas","TX","Public","4 Year",8920,10192,19112,22642,31562
"1263","Lancaster Bible College","Pennsylvania","PA","Private","4 Year",8750,25270,34020,25270,34020
"1264","Lander University","South Carolina","SC","Public","4 Year",9100,11700,20800,21300,30400
"1265","Landing School of Boatbuilding and Design","Maine","ME","Private","2 Year",8757,20740,29497,20740,29497
"1266","Landmark College","Vermont","VT","Private","2 Year",11840,56800,68640,56800,68640
"1267","Lane College","Tennessee","TN","Private","4 Year",7270,10690,17960,10690,17960
"1268","Lane Community College","Oregon","OR","Public","2 Year",NA,5641,5641,12683,12683
"1269","Laney College","California","CA","Public","2 Year",NA,1461,1461,9201,9201
"1270","Langston University","Oklahoma","OK","Public","4 Year",9476,5950,15426,13300,22776
"1271","Lansing Community College","Michigan","MI","Public","2 Year",NA,3530,3530,9830,9830
"1272","Laramie County Community College","Wyoming","WY","Public","2 Year",7200,3426,10626,7938,15138
"1273","Laredo Community College","Texas","TX","Public","2 Year",NA,4080,4080,7140,7140
